web-scraper-order,web-scraper-start-url,judul,rating,tahun,durasi,link,link-href,umur
1718339113-216,https://www.imdb.com/chart/top/?ref_=nv_mv_250,216. Spotlight,,2015,2h 9m,216. Spotlight,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_216,R
1718339113-217,https://www.imdb.com/chart/top/?ref_=nv_mv_250,217. Hotel Rwanda,,2004,2h 1m,217. Hotel Rwanda,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_217,Not Rated
1718339113-218,https://www.imdb.com/chart/top/?ref_=nv_mv_250,218. The Terminator,,1984,1h 47m,218. The Terminator,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_218,Passed
1718339113-219,https://www.imdb.com/chart/top/?ref_=nv_mv_250,219. Platoon,,1986,2h,219. Platoon,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_219,R
1718339113-220,https://www.imdb.com/chart/top/?ref_=nv_mv_250,220. La haine,,1995,1h 38m,220. La haine,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_220,Approved
1718339113-221,https://www.imdb.com/chart/top/?ref_=nv_mv_250,221. The Passion of Joan of Arc,,1928,1h 54m,221. The Passion of Joan of Arc,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_221,PG-13
1718339113-222,https://www.imdb.com/chart/top/?ref_=nv_mv_250,222. Before Sunset,,2004,1h 20m,222. Before Sunset,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_222,R
1718339113-223,https://www.imdb.com/chart/top/?ref_=nv_mv_250,223. The Best Years of Our Lives,,1946,2h 50m,223. The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_223,Approved
1718339113-224,https://www.imdb.com/chart/top/?ref_=nv_mv_250,224. Pirates of the Caribbean: The Curse of the Black Pearl,,2003,2h 23m,224. Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_224,R
1718339113-225,https://www.imdb.com/chart/top/?ref_=nv_mv_250,225. The Exorcist,,1973,2h 2m,225. The Exorcist,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_225,R
1718339113-226,https://www.imdb.com/chart/top/?ref_=nv_mv_250,226. Jai Bhim,,2021,2h 44m,226. Jai Bhim,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_226,G
1718339113-227,https://www.imdb.com/chart/top/?ref_=nv_mv_250,227. Rush,,2013,2h 3m,227. Rush,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_227,R
1718339113-228,https://www.imdb.com/chart/top/?ref_=nv_mv_250,228. Network,,1976,2h 1m,228. Network,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_228,PG
1718339113-229,https://www.imdb.com/chart/top/?ref_=nv_mv_250,229. The Wizard of Oz,,1939,1h 42m,229. The Wizard of Oz,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_229,G
1718339113-230,https://www.imdb.com/chart/top/?ref_=nv_mv_250,230. Stand by Me,,1986,1h 29m,230. Stand by Me,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_230,Not Rated
1718339113-231,https://www.imdb.com/chart/top/?ref_=nv_mv_250,231. The Incredibles,,2004,1h 55m,231. The Incredibles,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_231,Not Rated
1718339113-232,https://www.imdb.com/chart/top/?ref_=nv_mv_250,232. Hachi: A Dog's Tale,,2009,1h 33m,232. Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_232,G
1718339113-233,https://www.imdb.com/chart/top/?ref_=nv_mv_250,233. My Father and My Son,,2005,1h 52m,233. My Father and My Son,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_233,R
1718339113-234,https://www.imdb.com/chart/top/?ref_=nv_mv_250,234. The Handmaiden,,2016,2h 25m,234. The Handmaiden,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_234,Approved
1718339113-235,https://www.imdb.com/chart/top/?ref_=nv_mv_250,235. The Sound of Music,,1965,2h 52m,235. The Sound of Music,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_235,Not Rated
1718339113-236,https://www.imdb.com/chart/top/?ref_=nv_mv_250,236. Into the Wild,,2007,2h 28m,236. Into the Wild,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_236,Approved
1718339113-237,https://www.imdb.com/chart/top/?ref_=nv_mv_250,237. To Be or Not to Be,,1942,1h 39m,237. To Be or Not to Be,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_237,PG
1718339113-238,https://www.imdb.com/chart/top/?ref_=nv_mv_250,238. The Battle of Algiers,,1966,2h 1m,238. The Battle of Algiers,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_238,R
1718339113-239,https://www.imdb.com/chart/top/?ref_=nv_mv_250,239. The Grapes of Wrath,,1940,2h 9m,239. The Grapes of Wrath,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_239,PG
1718339113-240,https://www.imdb.com/chart/top/?ref_=nv_mv_250,240. Groundhog Day,,1993,1h 41m,240. Groundhog Day,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_240,Approved
1718339113-241,https://www.imdb.com/chart/top/?ref_=nv_mv_250,241. Amores Perros,,2000,2h 34m,241. Amores Perros,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_241,Approved
1718339113-242,https://www.imdb.com/chart/top/?ref_=nv_mv_250,242. The Iron Giant,,1999,1h 26m,242. The Iron Giant,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_242,PG-13
1718339113-243,https://www.imdb.com/chart/top/?ref_=nv_mv_250,243. Rebecca,,1940,2h 10m,243. Rebecca,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_243,Approved
1718339113-244,https://www.imdb.com/chart/top/?ref_=nv_mv_250,244. Cool Hand Luke,,1967,2h 7m,244. Cool Hand Luke,https://www.imdb.com/title/tt0061512/?ref_=chttp_t_244,Not Rated
1718339113-245,https://www.imdb.com/chart/top/?ref_=nv_mv_250,245. The Help,,2011,2h 26m,245. The Help,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_245,PG-13
1718339113-246,https://www.imdb.com/chart/top/?ref_=nv_mv_250,246. It Happened One Night,,1934,1h 45m,246. It Happened One Night,https://www.imdb.com/title/tt0025316/?ref_=chttp_t_246,G
1718339113-247,https://www.imdb.com/chart/top/?ref_=nv_mv_250,247. Drishyam,,2015,2h 43m,247. Drishyam,https://www.imdb.com/title/tt4430212/?ref_=chttp_t_247,Not Rated
1718339113-248,https://www.imdb.com/chart/top/?ref_=nv_mv_250,248. Dances with Wolves,,1990,3h 1m,248. Dances with Wolves,https://www.imdb.com/title/tt0099348/?ref_=chttp_t_248,Not Rated
1718339113-249,https://www.imdb.com/chart/top/?ref_=nv_mv_250,249. Aladdin,,1992,1h 30m,249. Aladdin,https://www.imdb.com/title/tt0103639/?ref_=chttp_t_249,Not Rated
1718339113-250,https://www.imdb.com/chart/top/?ref_=nv_mv_250,250. Gangs of Wasseypur,,2012,5h 21m,250. Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/?ref_=chttp_t_250,Not Rated
